Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;A CORUÑA;23.8;29.8;51.6;68.7;97.8;90.8;134.4;106.5;71.3;45.2;26.2;18.3;764.4
Evapotranspiración de referencia;ALBACETE;32.3;47.3;41.0;79.6;162.3;203.4;214.9;188.4;124.5;78.7;44.0;26.3;1242.7
Evapotranspiración de referencia;ALICANTE/ALACANT;40.1;51.3;52.0;95.1;153.3;181.2;187.8;174.5;121.1;71.4;60.0;34.4;1222.2
Evapotranspiración de referencia;ALMERIA;47.0;55.8;57.3;97.0;167.4;197.1;197.2;188.5;132.8;88.4;60.2;40.4;1329.1
Evapotranspiración de referencia;ARABA/ALAVA;16.9;26.2;42.7;61.8;105.3;118.9;142.4;119.6;83.0;68.4;26.3;20.2;831.7
Evapotranspiración de referencia;ASTURIAS;21.7;29.4;46.4;65.2;91.7;92.2;118.7;91.6;70.1;54.6;30.0;23.8;735.4
Evapotranspiración de referencia;AVILA;25.6;37.1;42.2;72.1;137.2;161.6;205.9;174.3;99.4;69.4;27.7;19.8;1072.3
Evapotranspiración de referencia;BADAJOZ;34.6;47.0;61.0;96.0;173.6;191.5;238.7;198.5;123.3;90.4;37.4;24.0;1316.0
Evapotranspiración de referencia;ILLES BALEARS;32.2;45.1;52.7;92.0;139.5;163.4;187.7;163.1;113.0;67.3;47.5;27.2;1130.7
Evapotranspiración de referencia;BARCELONA;23.9;33.7;44.5;80.4;128.3;153.3;168.4;135.5;88.5;54.0;30.8;19.1;960.4
Evapotranspiración de referencia;BIZKAIA;21.6;29.2;55.5;65.9;95.5;99.7;127.8;103.4;77.7;68.3;34.9;31.5;811.0
Evapotranspiración de referencia;BURGOS;18.7;27.2;40.0;64.6;117.3;141.1;175.0;147.0;92.9;70.3;24.2;18.3;936.6
Evapotranspiración de referencia;CACERES;32.0;44.7;58.1;93.7;164.1;183.1;230.2;195.6;118.8;78.3;32.0;18.9;1249.5
