Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PRINCIPADO DE ASTURIAS;24.8;43.3;48.2;58.7;105.5;89.7;109.8;95.7;72.3;44.0;30.4;23.6;746.0
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE BALEARES;30.9;49.8;71.7;86.9;142.1;149.4;181.5;156.8;111.9;76.2;43.8;44.3;1145.3
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CANTABRIA;25.3;38.2;44.0;60.0;100.1;86.8;106.8;94.3;74.8;44.9;34.9;25.8;735.9
Evapotranspiración de referencia;CIUDAD AUTÓNOMA DE CEUTA;54.1;57.2;78.1;79.1;117.6;141.5;129.2;160.0;100.2;79.4;51.2;49.9;1097.5
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE LA RIOJA;22.0;44.2;53.8;62.3;121.6;113.0;153.7;133.8;98.9;53.4;26.7;25.7;909.1
Evapotranspiración de referencia;COMUNIDAD DE MADRID;23.3;43.2;62.9;72.2;142.1;176.3;225.8;186.8;118.5;64.8;28.9;26.6;1171.4
Evapotranspiración de referencia;CIUDAD AUTÓNOMA DE MELILLA;49.3;57.1;80.0;78.7;114.5;148.3;133.6;173.1;112.2;82.4;55.4;53.2;1137.8
Evapotranspiración de referencia;REGIÓN DE MURCIA;33.9;61.5;78.2;86.4;155.4;183.9;197.4;188.2;122.0;90.1;42.0;52.5;1291.5
Evapotranspiración de referencia;COMUNIDAD FORAL DE NAVARRA;18.3;37.8;51.0;69.9;125.8;115.6;155.9;138.9;101.6;49.0;28.5;20.6;912.9
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CANARIAS;70.2;95.8;93.0;102.8;135.1;130.3;175.1;171.6;127.4;95.5;79.6;54.2;1330.6
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;31.5;59.1;78.3;87.6;159.6;186.0;221.2;197.8;132.9;88.0;45.2;32.0;1319.2
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE ARAGÓN;21.5;48.2;59.7;75.6;135.7;142.0;188.1;169.9;111.9;65.8;29.7;27.8;1075.9
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;23.7;47.1;64.3;76.6;149.0;183.5;215.5;189.6;120.8;73.0;33.1;26.3;1202.5
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;17.7;38.6;57.0;61.9;127.4;134.9;186.2;149.2;103.1;53.5;26.9;20.3;976.7
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CATALUÑA;21.8;42.8;58.3;75.2;125.5;123.5;163.9;145.2;95.9;57.9;27.2;25.2;962.4
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE EXTREMADURA;26.8;46.6;74.5;83.1;154.1;186.4;233.6;196.8;133.2;78.6;34.1;25.6;1273.4
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE GALICIA;18.9;31.2;50.6;57.4;111.2;97.4;138.2;101.5;81.8;38.7;25.2;16.9;769.0
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;22.7;37.3;47.0;67.7;108.3;94.6;117.9;103.5;81.0;44.7;32.4;23.2;780.3
Evapotranspiración de referencia;COMUNITAT VALENCIANA;32.6;59.2;68.8;83.3;142.4;159.3;175.7;165.4;115.3;84.5;35.3;48.2;1170.0
