Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PRINCIPADO DE ASTURIAS;24.3;40.7;54.2;68.0;91.2;87.4;100.3;95.8;64.1;48.8;19.2;23.2;717.2
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE BALEARES;42.3;48.5;70.8;83.7;128.1;151.6;177.2;155.7;101.4;68.1;43.4;34.4;1105.2
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CANTABRIA;24.3;44.5;55.2;66.0;83.9;91.9;99.0;90.2;66.1;46.7;19.3;24.7;711.8
Evapotranspiración de referencia;CIUDAD AUTÓNOMA DE CEUTA;50.8;49.7;74.3;82.7;127.6;132.2;166.4;141.6;102.8;78.8;61.8;49.8;1118.5
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE LA RIOJA;28.3;40.2;61.7;70.3;106.7;123.3;150.0;141.8;83.0;54.5;23.6;17.8;901.2
Evapotranspiración de referencia;COMUNIDAD DE MADRID;24.8;38.7;79.1;79.9;140.3;170.7;214.5;195.7;100.4;65.7;32.4;21.3;1163.5
Evapotranspiración de referencia;CIUDAD AUTÓNOMA DE MELILLA;55.0;56.0;70.9;87.0;126.0;137.0;188.0;146.1;108.2;86.6;65.0;54.6;1180.4
Evapotranspiración de referencia;REGIÓN DE MURCIA;56.1;59.9;74.7;82.4;149.8;168.7;207.1;173.8;115.8;72.5;52.6;42.5;1255.9
Evapotranspiración de referencia;COMUNIDAD FORAL DE NAVARRA;23.5;40.2;64.8;77.7;108.7;125.8;145.7;137.4;83.7;56.1;24.4;13.9;901.9
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CANARIAS;60.8;71.7;101.1;109.0;143.9;144.5;172.4;168.2;119.0;96.7;58.9;55.1;1301.3
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;35.0;49.5;88.7;94.4;158.9;179.0;223.0;189.8;123.4;82.8;44.7;34.8;1304.0
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE ARAGÓN;29.6;41.1;74.3;80.0;129.8;150.3;187.0;164.9;93.1;60.7;30.9;20.6;1062.3
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;25.9;42.8;79.0;81.3;145.9;169.4;220.9;192.4;107.8;68.4;32.5;23.6;1189.9
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;21.3;36.5;68.2;74.1;115.7;137.1;171.2;158.8;86.6;56.6;22.6;17.1;965.8
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CATALUÑA;27.8;35.2;66.6;75.0;115.2;141.7;162.5;138.3;82.6;52.3;30.2;20.5;947.9
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE EXTREMADURA;27.0;42.2;90.9;93.5;155.9;179.1;218.7;198.7;117.4;77.7;37.8;26.5;1265.4
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE GALICIA;18.4;32.9;60.2;72.6;94.2;104.9;110.4;108.3;70.9;46.9;22.1;19.4;761.2
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;22.6;42.3;58.2;70.9;91.2;96.7;104.9;97.3;71.9;48.4;18.8;21.7;744.9
Evapotranspiración de referencia;COMUNITAT VALENCIANA;51.3;51.7;71.4;75.7;135.3;149.2;183.7;149.6;98.0;63.5;44.6;38.5;1112.5
