Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;A CORUÑA;19.0;34.6;60.7;73.7;90.3;98.5;97.0;98.8;70.7;46.7;24.2;21.0;735.2
Evapotranspiración de referencia;ALBACETE;31.9;45.8;70.2;75.7;146.9;166.5;225.8;187.6;112.1;69.0;35.2;29.8;1196.5
Evapotranspiración de referencia;ALICANTE/ALACANT;57.3;60.8;74.3;80.3;144.7;160.8;191.8;162.8;111.2;69.1;50.8;45.5;1209.4
Evapotranspiración de referencia;ALMERIA;59.2;66.7;83.1;92.2;152.7;175.2;213.8;173.8;120.9;77.9;55.2;48.5;1319.2
Evapotranspiración de referencia;ARABA/ALAVA;20.7;37.0;54.9;66.5;94.7;102.9;116.1;105.7;72.8;45.9;17.4;15.1;749.7
Evapotranspiración de referencia;ASTURIAS;24.3;40.7;54.2;68.0;91.2;87.4;100.3;95.8;64.1;48.8;19.2;23.2;717.2
Evapotranspiración de referencia;AVILA;25.4;40.7;72.3;73.9;123.9;150.4;190.6;177.8;92.8;60.9;23.7;21.1;1053.5
Evapotranspiración de referencia;BADAJOZ;26.7;42.9;91.9;94.7;158.8;182.2;221.0;198.5;121.5;81.0;38.3;27.3;1284.8
Evapotranspiración de referencia;ILLES BALEARS;42.3;48.5;70.8;83.7;128.1;151.6;177.2;155.7;101.4;68.1;43.4;34.4;1105.2
Evapotranspiración de referencia;BARCELONA;26.4;35.1;63.3;74.0;112.5;142.0;158.3;131.4;80.2;48.5;27.4;20.6;919.7
Evapotranspiración de referencia;BIZKAIA;25.5;46.3;60.4;73.0;87.4;91.8;96.7;90.4;71.6;50.3;20.4;27.9;741.7
Evapotranspiración de referencia;BURGOS;19.7;37.4;61.4;67.5;103.2;120.3;150.3;138.2;80.5;51.6;19.4;15.3;864.8
Evapotranspiración de referencia;CACERES;27.3;41.5;89.8;92.2;152.7;175.7;216.1;198.9;113.0;74.1;37.3;25.6;1244.2
Evapotranspiración de referencia;CADIZ;31.9;50.1;91.9;98.2;163.0;166.0;202.1;172.8;124.5;91.4;49.4;40.7;1282.0
Evapotranspiración de referencia;CANTABRIA;24.3;44.5;55.2;66.0;83.9;91.9;99.0;90.2;66.1;46.7;19.3;24.7;711.8
Evapotranspiración de referencia;CASTELLON/CASTELLÓ;51.4;46.4;72.0;74.1;123.0;142.7;171.2;136.8;87.0;59.3;43.4;33.8;1041.1
Evapotranspiración de referencia;CEUTA;50.8;49.7;74.3;82.7;127.6;132.2;166.4;141.6;102.8;78.8;61.8;49.8;1118.5
Evapotranspiración de referencia;CIUDAD REAL;25.8;45.2;85.9;88.4;158.8;186.3;236.2;204.8;116.8;75.2;33.8;24.2;1281.4
Evapotranspiración de referencia;CORDOBA;29.1;44.7;91.0;97.0;166.5;191.4;234.5;204.4;128.4;83.4;42.2;29.1;1341.7
Evapotranspiración de referencia;CUENCA;23.2;38.7;75.4;74.2;135.7;156.9;208.6;182.3;101.3;63.7;31.4;21.3;1112.7
Evapotranspiración de referencia;GIPUZKOA;22.3;46.0;60.8;75.4;90.1;92.8;97.0;92.2;70.9;50.0;19.1;24.9;741.5
Evapotranspiración de referencia;GIRONA;28.0;33.1;64.4;75.6;102.9;142.5;158.1;130.3;78.7;53.1;31.6;19.1;917.4
Evapotranspiración de referencia;GRANADA;35.3;52.0;78.7;84.6;144.8;170.4;223.3;184.6;119.1;74.8;37.7;34.0;1239.3
Evapotranspiración de referencia;GUADALAJARA;22.5;37.1;72.1;74.0;123.9;145.7;193.1;172.1;86.4;56.9;26.7;18.0;1028.5
Evapotranspiración de referencia;HUELVA;30.8;41.6;91.7;98.1;160.3;173.2;212.4;186.9;118.9;83.4;46.7;31.8;1275.8
Evapotranspiración de referencia;HUESCA;24.4;34.8;72.3;79.1;125.4;145.5;173.6;156.9;84.8;53.8;29.5;17.7;997.8
Evapotranspiración de referencia;JAEN;30.5;48.6;89.5;92.2;158.4;185.6;233.4;198.3;121.4;78.0;36.4;29.3;1301.6
Evapotranspiración de referencia;LA RIOJA;28.3;40.2;61.7;70.3;106.7;123.3;150.0;141.8;83.0;54.5;23.6;17.8;901.2
Evapotranspiración de referencia;LAS PALMAS;67.2;77.3;111.4;115.9;149.1;152.2;177.0;173.0;124.4;101.8;65.9;61.3;1376.5
Evapotranspiración de referencia;LEON;20.2;29.5;62.6;74.1;106.3;122.1;147.4;138.6;73.9;50.3;22.1;16.5;863.6
Evapotranspiración de referencia;LLEIDA;21.5;34.3;66.2;73.9;117.4;138.5;164.3;144.5;82.3;50.4;24.8;16.8;934.9
Evapotranspiración de referencia;LUGO;18.6;33.6;55.0;68.4;92.0;97.0;108.5;103.1;67.5;45.5;18.9;18.5;726.6
Evapotranspiración de referencia;MADRID;24.8;38.7;79.1;79.9;140.3;170.7;214.5;195.7;100.4;65.7;32.4;21.3;1163.5
Evapotranspiración de referencia;MALAGA;38.9;49.6;83.3;88.9;152.7;174.0;220.9;181.6;121.8;81.2;48.7;38.6;1280.2
