Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PRINCIPADO DE ASTURIAS;19.0;27.5;63.4;77.4;87.6;101.3;108.4;99.8;74.6;55.9;27.2;20.9;763.0
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE BALEARES;39.8;37.1;76.4;102.8;115.6;148.3;170.3;156.6;100.8;79.9;51.5;35.4;1114.5
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CANTABRIA;19.3;28.6;61.7;73.0;83.6;95.0;100.1;97.3;74.5;58.9;27.5;21.5;741.0
Evapotranspiración de referencia;CIUDAD AUTÓNOMA DE CEUTA;54.1;59.9;92.7;122.7;126.9;137.3;192.6;155.8;105.7;78.0;61.3;52.7;1239.7
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE LA RIOJA;22.7;30.2;70.4;94.4;107.4;118.7;150.8;149.7;88.2;61.9;31.2;20.3;945.9
Evapotranspiración de referencia;COMUNIDAD DE MADRID;25.8;39.7;77.7;125.9;133.2;149.8;214.4;197.9;92.8;62.5;26.9;17.9;1164.5
Evapotranspiración de referencia;CIUDAD AUTÓNOMA DE MELILLA;59.5;58.9;107.0;137.1;139.3;155.0;202.5;175.4;108.4;83.7;64.3;54.3;1345.4
Evapotranspiración de referencia;REGIÓN DE MURCIA;47.2;44.5;106.1;140.3;124.1;157.0;192.5;183.2;105.3;83.3;61.9;44.3;1289.7
Evapotranspiración de referencia;COMUNIDAD FORAL DE NAVARRA;20.7;31.4;66.5;86.8;108.7;120.1;142.8;143.4;90.9;60.6;27.1;16.6;915.6
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CANARIAS;62.4;59.0;120.3;127.9;138.9;140.1;170.6;167.9;115.3;121.2;77.2;62.9;1363.7
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;34.6;52.3;92.7;142.1;143.6;171.6;216.4;201.4;114.8;81.0;44.2;30.8;1325.5
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE ARAGÓN;28.5;34.8;84.2;114.4;128.8;139.0;184.5;176.6;99.6;68.1;39.0;25.8;1123.3
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;27.4;41.2;85.8;133.2;131.4;154.3;219.0;197.1;104.0;70.9;33.5;22.4;1220.2
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;18.1;31.1;66.1;102.1;113.1;130.0;173.7;163.0;88.2;57.9;22.7;14.1;980.1
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CATALUÑA;26.4;34.2;72.6;98.1;115.8;127.9;159.3;151.2;96.0;61.9;36.5;25.3;1005.2
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE EXTREMADURA;27.4;47.9;80.1;137.4;150.6;174.1;220.2;205.8;108.8;70.7;30.3;19.9;1273.2
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE GALICIA;18.5;32.9;52.0;78.7;102.9;109.7;120.3;114.3;72.5;49.2;20.3;15.5;786.8
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;19.2;29.5;65.4;74.1;89.7;100.1;108.3;108.1;80.8;63.1;28.8;20.7;787.8
Evapotranspiración de referencia;COMUNITAT VALENCIANA;42.7;40.0;99.1;121.5;120.8;144.8;168.4;165.5;94.6;77.5;57.7;41.2;1173.8
